ip_address,count,coordinates,latitude,longitude,nearest_university,distance_to_nearest,distance_to_other
192.228.149.201,2,"('3.1191', '101.6747')",3.1191,101.6747,OTHER,14138.374721934375,14123.792376947971
98.226.178.10,6,"('41.935', '-87.8737')",41.935,-87.8737,OTHER,2789.831577808927,2800.0345033201233
74.199.102.123,10,"('42.6002', '-83.0033')",42.6002,-83.0033,OTHER,3196.531032205887,3206.6329036759785
72.82.233.99,2,"('40.266', '-74.5217')",40.266,-74.5217,OTHER,3900.4220278060675,3911.3869502872103
165.225.39.63,8,"('40.7123', '-74.0068')",40.7123,-74.0068,OTHER,3940.553359238915,3951.3678248803276
109.252.84.237,2,"('55.7483', '37.6171')",55.7483,37.6171,OTHER,9773.988101215038,9772.096435298754
85.76.51.100,2,"('60.1797', '24.9344')",60.1797,24.9344,OTHER,9013.984023607985,9013.214303718014
197.86.197.129,5,"('-29.9056', '30.9405')",-29.9056,30.9405,OTHER,17087.336626971497,17101.499333612348
35.146.32.31,2,"('30.4548', '-97.7664')",30.4548,-97.7664,OTHER,1966.6528193032848,1981.3406626658386
136.226.86.165,2,"('39.7388', '-104.9868')",39.7388,-104.9868,OTHER,1340.7968226090677,1350.0607099622946
66.196.228.150,6,"('32.9993', '-96.8346')",32.9993,-96.8346,OTHER,1988.3863881119162,2002.3354978738944
69.1.196.33,6,"('33.9332', '-83.3536')",33.9332,-83.3536,OTHER,3205.083144066133,3218.190954960539
